id,Name,Nationality,Club,Score,International_reputation
11211,Perera,Spain,Deportivo Alavés,64,1
11212,B. Diakité,France,Toulouse Football Club,64,1
11213,Jaume,Spain,CD Lugo,64,1
11214,A. Colorado,Colombia,Deportivo Cali,64,1
11215,André Almeida,Portugal,Vitória Guimarães,64,1
11216,Riki,Spain,Real Oviedo,64,1
11217,Rui Pires,Portugal,ESTAC Troyes,64,1
11218,S. Botman,Netherlands,SC Heerenveen,64,1
11219,L. Štor,Slovenia,SG Dynamo Dresden,64,1
11220,L. Šatka,Slovakia,Lech Poznań,64,1
11221,K. Bryan,United Kingdom,Sheffield United,64,1
11222,M. Rudakov,Russia,HJK Helsinki,64,1
11223,G. Kiltie,United Kingdom,Kilmarnock,64,1
11224,C. Chaplin,United Kingdom,Barnsley,64,1
11225,M. Bola,United Kingdom,Middlesbrough,64,1
11226,G. Scamacca,Italy,Ascoli,64,1
11227,C. Senior,United Kingdom,Colchester United,64,1
11228,A. Angulo,Colombia,Rionegro Águilas,64,1
11229,M. Gómez,Colombia,Envigado FC,64,1
11230,M. Listkowski,Poland,Pogoń Szczecin,64,1
11231,L. de la Torre,United States,Fulham,64,1
11232,B. Hanlan,United Kingdom,Gillingham,64,1
11233,S. Hernández,Mexico,Club Atlas,64,1
11234,A. Ralston,United Kingdom,Celtic,64,1
11235,R. Sykes,United Kingdom,Accrington Stanley,64,1
11236,B. Morgado,Switzerland,FC Sion,64,1
11237,R. Kolo-Muani,France,FC Nantes,64,1
11238,Kang Ji Hoon,South Korea,Gangwon FC,64,1
11239,O. Kiomourtzoglou,Germany,Heracles Almelo,64,1
11240,A. Laukart,Germany,FC Twente,64,1
11241,B. Figueroa,Mexico,U.N.A.M.,64,1
11242,E. Bwomono,United Kingdom,Southend United,64,1
11243,T. Reijnders,Netherlands,AZ Alkmaar,64,1
11244,O. Reabciuk,Moldova,FC Paços de Ferreira,64,1
11245,S. McLoughlin,Ireland,St. Mirren,64,1
11246,D. Hashioka,Japan,Urawa Red Diamonds,64,1
11247,E. Zehir,Germany,FC St. Pauli,64,1
11248,C. Mueller,United States,Orlando City SC,64,1
11249,Miguel Ángel,Spain,CF Fuenlabrada,64,1
11250,D. Wenzel-Halls,Australia,Brisbane Roar,64,1
11251,F. Sgarbi,Italy,Perugia,64,1
11252,Victor Luiz,Brazil,HJK Helsinki,64,1
11253,A. Bussaglia,Italy,Cittadella,64,1
11254,M. Hjulmand,Denmark,FC Admira Wacker Mödling,64,1
11255,P. Medina,Mexico,Monarcas Morelia,64,1
11256,Alberto González,Spain,CD Mirandés,64,1
11257,N. Schlotterbeck,Germany,SC Freiburg,64,1
11258,M. Akçay,Turkey,Atiker Konyaspor,64,1
11259,G. Simion,Romania,Astra Giurgiu,64,1
11260,R. Boboc,Romania,FC Viitorul,64,1
11261,Miguel Marí,Spain,SD Eibar,64,1
11262,D. Abels,Netherlands,Sparta Rotterdam,64,1
11263,I. Botella,France,RC Strasbourg Alsace,64,1
11264,K. Watanabe,Japan,Yokohama F. Marinos,64,1
11265,M. O'Hara,United Kingdom,Peterborough United,64,1
11266,M. Ingebrigtsen,Norway,Tromsø IL,64,1
11267,G. Zelalem,United States,Sporting Kansas City,64,1
11268,R. Espejord,Norway,Tromsø IL,64,1
11269,K. Dempsey,United Kingdom,Fleetwood Town,64,1
11270,C. Ogilvie,United Kingdom,Gillingham,64,1
11271,N. Breitenbruch,Argentina,Godoy Cruz,64,1
11272,P. Pflücke,Germany,KFC Uerdingen 05,64,1
11273,A. Cannon,United Kingdom,Portsmouth,64,1
11274,M. Litka,Germany,SC Preußen Münster,64,1
11275,M. Rodriguez,United States,Houston Dynamo,64,1
11276,B. Boutobba,France,Montpellier HSC,64,1
11277,F. Barboza,Argentina,Godoy Cruz,64,1
11278,S. Saucedo,United States,Real Salt Lake,64,1
11279,M. Payares,Colombia,Patriotas Boyacá FC,64,1
11280,J. Gundersen,Norway,Tromsø IL,64,1
11281,J. Dacres-Cogley,United Kingdom,Crawley Town,64,1
11282,N. De Medina,Belgium,Royal Excel Mouscron,64,1
11283,C. Nwakali,Nigeria,Kalmar FF,64,1
11284,S. Nkansah,Germany,Eintracht Braunschweig,64,1
11285,D. Oldaker,United Kingdom,Gillingham,64,1
11286,J. Fitzwater,United Kingdom,West Bromwich Albion,64,1
11287,M. Lis,Poland,Wisła Kraków,64,1
11288,N. Kocik,France,Valenciennes FC,64,1
11289,R. Tapia,Argentina,Club Atlético Banfield,64,1
11290,K. Machida,Japan,Kashima Antlers,64,1
11291,S. Floranus,Netherlands,SC Heerenveen,64,1
11292,V. Tranberg,Denmark,Esbjerg fB,64,1
11293,Josín Martínez,Spain,Real Oviedo,64,1
11294,R. Ache,Germany,Sparta Rotterdam,64,1
11295,R. Oaidă,Romania,FCSB (Steaua),64,1
11296,M. Thurnwald,Austria,SCR Altach,64,1
11297,P. Staikos,Greece,Panathinaikos FC,64,1
11298,M. Soisalo,Finland,SV Zulte-Waregem,64,1
11299,K. Lankford,Germany,FC St. Pauli,64,1
11300,A. Erlingmark,Sweden,IFK Göteborg,64,1
11301,L. Riveros,Paraguay,CD Universidad de Concepción,64,1
11302,R. Basque,France,Le Havre AC,64,1
11303,E. Banda,Zambia,KV Oostende,64,1
11304,L. Lauberbach,Germany,Holstein Kiel,64,1
11305,Y. Fekir,France,Real Betis,64,1
11306,G. Torres,Colombia,Rionegro Águilas,64,1
11307,Nuno Macedo,Portugal,Moreirense FC,64,1
11308,M. Merghem,France,En Avant de Guingamp,64,1
11309,A. Jakubech,Slovakia,LOSC Lille,64,1
11310,S. Niakaté,France,En Avant de Guingamp,64,1
11311,F. Florio,Italy,Pordenone,64,1
11312,F. Quiroz,Argentina,Club Atlético Colón,64,1
11313,M. Carabajal,Argentina,Arsenal de Sarandí,64,1
11314,R. Rivas,Honduras,Inter,64,1
11315,J. Þorsteinsson,Iceland,Aarhus GF,64,1
11316,Carlos Cordero,Spain,Real Sporting de Gijón,64,1
11317,L. Selahi,Albania,FC Twente,64,1
11318,S. Friede,Germany,Hertha BSC,64,1
11319,I. Govea,Mexico,Club Atlas,64,1
11320,L. Ameka Autchanga,Gabon,Chamois Niortais Football Club,64,1
11321,N. Dieng,France,Rodez Aveyron Football,64,1
11322,V. Arveladze,Georgia,Korona Kielce,64,1
11323,J. Segre,Italy,Torino,64,1
11324,Ricardo Schutte,Portugal,Rio Ave FC,64,1
11325,S. Briñone,Argentina,Patronato,64,1
11326,Jesús Fortes,Spain,UD Las Palmas,64,1
11327,F. Cardozo,Paraguay,Boavista FC,64,1
11328,M. Szczepański,Poland,Raków Częstochowa,64,1
11329,Maudo Jarjué,Guinea-Bissau,FK Austria Wien,64,1
11330,C. Brym,France,Os Belenenses,64,1
11331,Jorge Vilela,Portugal,Portimonense SC,64,1
11332,S. Obeng,Ghana,Real Oviedo,64,1
11333,A. Belmonte,France,Grenoble Foot 38,64,1
11334,J. Mitchell,United Kingdom,Derby County,64,1
11335,O. Custodio,Switzerland,FC Lugano,64,1
11336,M. Kallesøe,Denmark,Randers FC,64,1
11337,M. Mbaye,Senegal,Chievo Verona,64,1
11338,N. Sutter,Switzerland,FC Thun,64,1
11339,R. Dickie,United Kingdom,Oxford United,64,1
11340,L. McGee,United Kingdom,Portsmouth,64,1
11341,B. Collins,United Kingdom,Barnsley,64,1
11342,R. Hardie,United Kingdom,Blackpool,64,1
11343,A. Confais,France,Le Mans FC,64,1
11344,R. Escobar,Chile,Audax Italiano,64,1
11345,S. Coulibaly,France,AS Nancy Lorraine,64,1
11346,A. Walkes,United Kingdom,Portsmouth,64,1
11347,D. Kılıç,Turkey,Göztepe SK,64,1
11348,Hong Jeong Un,South Korea,Daegu FC,64,1
11349,Lee Sang Heon,South Korea,Ulsan Hyundai FC,64,1
11350,F. Bjørkan,Norway,FK Bodø/Glimt,64,1
11351,S. Skytte,Denmark,Stabæk Fotball,64,1
11352,N. McGinley,United Kingdom,Forest Green Rovers,64,1
11353,F. Buntić,Croatia,FC Ingolstadt 04,64,1
11354,E. Huth,Germany,FSV Zwickau,64,1
11355,O. Christensen,Denmark,Odense Boldklub,64,1
11356,J. Cortizo,Mexico,Querétaro,64,1
11357,Han Seung Gyu,South Korea,Jeonbuk Hyundai Motors,64,1
11358,A. Danladi,Ghana,Minnesota United FC,64,1
11359,E. Zaldívar,Mexico,Club Atlas,64,1
11360,N. Bazzana,Argentina,Club Atlético Aldosivi,64,1
11361,M. Dembélé,France,AS Nancy Lorraine,64,1
11362,T. Chahed,Germany,1. FC Magdeburg,64,1
11363,F. Wagner,Germany,SC Preußen Münster,64,1
11364,A. Dini,Italy,Trapani,64,1
11365,F. García,Argentina,CD Leganés,64,1
11366,F. Kusić,Serbia,FC Erzgebirge Aue,64,1
11367,C. Hazard,United Kingdom,Celtic,64,1
11368,Bikoro,Equatorial Guinea,Real Zaragoza,64,1
11369,A. Spahic,Bosnia and Herzegovina,1. FC Kaiserslautern,64,1
11370,E. Lomotey,Ghana,Extremadura UD,64,1
11371,E. Gutiérrez,Mexico,Monterrey,64,1
11372,J. Guillemenot,Switzerland,FC St. Gallen,64,1
11373,J. Vargas,Costa Rica,Deportes Tolima,64,1
11374,A. Groiß,Germany,Karlsruher SC,64,1
11375,A. Cruz,Costa Rica,FC Cincinnati,64,1
11376,R. Karjalainen,Finland,Fortuna Sittard,64,1
11377,P. Iacob,Romania,FC Viitorul,64,1
11378,D. Hanslik,Germany,Holstein Kiel,64,1
11379,L. Duarte,Netherlands,Sparta Rotterdam,64,1
11380,S. Özcan,Germany,SC Preußen Münster,64,1
11381,Kirian,Spain,UD Las Palmas,64,1
11382,Franquesa,Spain,CD Mirandés,64,1
11383,K. Apostolakis,Greece,Panathinaikos FC,64,1
11384,S. Fraser,United Kingdom,Burton Albion,64,1
11385,K. Antonsen,Norway,Tromsø IL,64,1
11386,D. Butler,United Kingdom,Peterborough United,64,1
11387,W. Falcone,Italy,Sampdoria,64,1
11388,P. Gregor,Denmark,FK Haugesund,64,1
11389,J. Brown,Jamaica,Colchester United,64,1
11390,O. Álvarez,Colombia,Patriotas Boyacá FC,64,1
11391,C. Grant,United Kingdom,Plymouth Argyle,64,1
11392,Ander Cantero,Spain,CD Lugo,64,1
11393,V. Bergan,Norway,FK Bodø/Glimt,64,1
11394,M. Konradsen,Norway,FK Bodø/Glimt,64,1
11395,A. Bakayoko,Sierra Leone,Coventry City,64,1
11396,A. Smith-Brown,United Kingdom,Oldham Athletic,64,1
11397,S. Nelson,United Kingdom,Tranmere Rovers,64,1
11398,S. Skrabb,Finland,IFK Norrköping,64,1
11399,S. Román,Colombia,Once Caldas,64,1
11400,L. Carillo,Italy,US Salernitana 1919,64,1
11401,B. Spittal,United Kingdom,Ross County FC,64,1
11402,V. Wernersson,Sweden,IFK Göteborg,64,1
11403,S. Kashket,United Kingdom,Wycombe Wanderers,64,1
11404,Z. Vyner,United Kingdom,Aberdeen,64,1
11405,Nathan,Brazil,FC Zürich,64,1
11406,G. Timotheou,Australia,SV Zulte-Waregem,64,1
11407,A. Andersson,Sweden,BK Häcken,64,1
11408,Nahuel,Spain,CD Tenerife,64,1
11409,D. Niepsuj,Poland,Wisła Kraków,64,1
11410,N. Mason,United Kingdom,Peterborough United,64,1
11411,A. Deiola,Italy,Cagliari,64,1
11412,Gustavo Hebling,Brazil,Portimonense SC,64,1
11413,T. Morishima,Japan,Sanfrecce Hiroshima,64,1
11414,A. Soumaoro,Guinea,Livorno,64,1
11415,P. Tietz,Germany,SV Wehen Wiesbaden,64,1
11416,A. Schetino,Uruguay,Fiorentina,64,1
11417,Song Ju Hun,South Korea,Tianjin Quanjian FC,64,1
11418,S. Reddemann,Germany,Chemnitzer FC,64,1
11419,L. Faye,Netherlands,Sparta Rotterdam,64,1
11420,Hwang Ki Wook,South Korea,FC Seoul,64,1
11421,Javi Jiménez,Spain,Valencia CF,64,1
11422,R. Zammarini,Italy,Pordenone,64,1
11423,B. Bronico,United States,Chicago Fire,64,1
11424,M. Meulensteen,Netherlands,RKC Waalwijk,64,1
11425,M. Sarkaria,Austria,FK Austria Wien,64,1
11426,Carlos Miguel,Brazil,FC Red Bull Salzburg,64,1
11427,B. Bye,United States,New England Revolution,64,1
11428,J. Martínez,Peru,CF Fuenlabrada,64,1
11429,J. Dörfler,Germany,SC Paderborn 07,64,1
11430,D. Koita,Mali,En Avant de Guingamp,64,1
11431,Primi,Spain,Elche CF,64,1
11432,D. Undav,Germany,SV Meppen,64,1
11433,P. Owusu,Germany,DSC Arminia Bielefeld,64,1
11434,T. Iwata,Japan,Oita Trinita,64,1
11435,P. Ayongo,Ghana,FC Paços de Ferreira,64,1
11436,D. Gugganig,Austria,WSG Tirol,64,1
11437,C. Neguț,Romania,Chindia Târgovişte,64,1
11438,M. Shaker,United Arab Emirates,Al Ain FC,64,1
11439,Leo Cordeiro,Brazil,Gil Vicente FC,64,1
11440,Admonio,Guinea-Bissau,CD Numancia,64,1
11441,L. Marchi,Argentina,Arsenal de Sarandí,64,1
11442,Bruno Jesus,Brazil,CD Aves,64,1
11443,R. Sánchez,Mexico,Chicago Fire,64,1
11444,R. McLaughlin,United Kingdom,Rochdale,64,1
11445,M. Fraser,United Kingdom,Ross County FC,64,1
11446,N. Neidhart,Germany,FC Hansa Rostock,64,1
11447,W. Burns,United Kingdom,Fleetwood Town,64,1
11448,M. Sarr,Germany,FC Carl Zeiss Jena,64,1
11449,D. Bojanić,Sweden,Hammarby IF,64,1
11450,J. Wright,United Kingdom,Doncaster Rovers,64,1
11451,H. Cornick,United Kingdom,Luton Town,64,1
11452,D. Gabriele,Germany,FC Carl Zeiss Jena,64,1
11453,C. Long,United Kingdom,Motherwell,64,1
11454,R. Hedges,United Kingdom,Aberdeen,64,1
11455,A. Camigliano,Italy,Cittadella,64,1
11456,P. Ceccaroni,Italy,Venezia FC,64,1
11457,U. Saracco,Italy,Cosenza,64,1
11458,O. Khan,United Kingdom,Mansfield Town,64,1
11459,M. Schuster,Germany,SV Waldhof Mannheim,64,1
11460,B. Cmiljanic,Montenegro,FC Admira Wacker Mödling,64,1
11461,G. Gazzaniga,Argentina,SD Ponferradina,64,1
11462,T. Salquist,Denmark,Lillestrøm SK,64,1
11463,K. Mercado,Ecuador,Club Necaxa,64,1
11464,J. van der Heyden,Netherlands,FC Twente,64,1
11465,J. Kramer,Netherlands,AZ Alkmaar,64,1
11466,C. Goode,United Kingdom,Northampton Town,64,1
11467,J. Ertlthaler,Austria,SV Mattersburg,64,1
11468,C. Johnson,United Kingdom,Accrington Stanley,64,1
11469,B. Böðvarsson,Iceland,Jagiellonia Białystok,64,1
11470,Choi Kyu Baek,South Korea,Jeju United FC,64,1
11471,M. Martic,Austria,SK Rapid Wien,64,1
11472,A. Vukčević,Montenegro,Waasland-Beveren,64,1
11473,N. Rieble,Germany,FC Hansa Rostock,64,1
11474,R. Piscitelli,Italy,Dinamo Bucureşti,64,1
11475,S. Al Rubaie,Saudi Arabia,Ettifaq FC,64,1
11476,T. Demirtaş,Turkey,Gençlerbirliği SK,64,1
11477,L. Wales,Australia,Melbourne City FC,64,1
11478,C. Greger,Germany,SpVgg Unterhaching,64,1
11479,L. Grgic,Austria,WSG Tirol,64,1
11480,I. Jukić,Croatia,Korona Kielce,64,1
11481,Luan,Brazil,SKN St. Pölten,64,1
11482,Santi Samanes,Spain,Arka Gdynia,64,1
11483,B. Öztürk,Turkey,Antalyaspor,64,1
11484,M. Ortíz,Argentina,Club Atlético Talleres,64,1
11485,M. Ellingsen,Norway,Molde FK,64,1
11486,M. Breij,Netherlands,FC Groningen,64,1
11487,C. Sibbald,United Kingdom,Livingston FC,64,1
11488,I. Sissoko,France,Chamois Niortais Football Club,64,1
11489,A. Radu,Romania,Politehnica Iaşi,64,1
11490,A. Mendy,Senegal,Racing Club de Lens,64,1
11491,E. Moreno,Colombia,Deportivo Pasto,64,1
11492,A. Ivan,Romania,New York Red Bulls,64,1
11493,Arthur Silva,Brazil,FC Tokyo,64,1
11494,B. Nouvier,France,Raków Częstochowa,64,1
11495,T. Mabasa,South Africa,Orlando Pirates,64,1
11496,J. Dhillon,United States,Seattle Sounders FC,64,1
11497,Kellyton,Brazil,Gil Vicente FC,64,1
11498,V. Stojanovski,Macedonia,Nîmes Olympique,64,1
11499,Tiago Esgaio,Portugal,Os Belenenses,64,1
11500,Fabiano Alves,Brazil,FC St. Gallen,64,1
11501,J. Dawa Tchakonte,Cameroon,Cameroon,64,1
11502,J. Bond,United Kingdom,West Bromwich Albion,64,1
11503,J. Ruffels,United Kingdom,Oxford United,64,1
11504,A. Pierre,Grenada,Shrewsbury,64,1
11505,J. Bolton,United Kingdom,Portsmouth,64,1
11506,J. Roberts,United Kingdom,Ipswich Town,64,1
11507,R. Edwards,Australia,Burton Albion,64,1
11508,T. Anderson,United Kingdom,Doncaster Rovers,64,1
11509,T. Hölscher,Germany,FC Twente,64,1
11510,F. Putros,Iraq,Hobro IK,64,1
11511,J. Nilsson,Sweden,DSC Arminia Bielefeld,64,1
11512,J. Untersee,Switzerland,Empoli,64,1
11513,H. Hansen,Germany,FC Würzburger Kickers,64,1
11514,A. Calver,Australia,Western United FC,64,1
11515,V. Milke,Mexico,Querétaro,64,1
11516,E. Córdoba,Colombia,Rionegro Águilas,64,1
11517,L. Mena,Colombia,Atlético Bucaramanga,64,1
11518,P. Schorr,Germany,FC Carl Zeiss Jena,64,1
11519,I. Jáuregui,Argentina,WSG Tirol,64,1
11520,J. Houwen,Netherlands,Vitesse,64,1
11521,J. Oosterwijk,Netherlands,FC Twente,64,1
11522,S. Chakla,Morocco,Villarreal CF,64,1
11523,S. Vecchia,Sweden,IK Sirius,64,1
11524,P. Berg,Norway,FK Bodø/Glimt,64,1
11525,N. Fazzi,Italy,Atalanta,64,1
11526,O. Sowunmi,United Kingdom,Colchester United,64,1
11527,Rafael Ramos,Portugal,Santa Clara,64,1
11528,Jin Yangyang,China,Hebei China Fortune FC,64,1
11529,D. Wynne,New Zealand,Colorado Rapids,64,1
11530,R. Williams,Jamaica,Columbus Crew SC,64,1
11531,B. Badibanga,Belgium,Waasland-Beveren,64,1
11532,P. Hercher,Germany,1. FC Kaiserslautern,64,1
11533,A. Maisonnial,France,Paris FC,64,1
11534,Y. Aygün,Turkey,Göztepe SK,64,1
11535,P. Yrizar,Mexico,Querétaro,64,1
11536,W. Janssens,Belgium,Sint-Truidense VV,64,1
11537,M. Wachs,Germany,SV Wehen Wiesbaden,64,1
11538,N. Freeman,United Kingdom,Wycombe Wanderers,64,1
11539,S. Sow,Netherlands,RKC Waalwijk,64,1
11540,T. Goppel,Netherlands,ADO Den Haag,64,1
11541,C. Akas,Nigeria,Os Belenenses,64,1
11542,D. Kvande,Norway,Ranheim Fotball,64,1
11543,N. Heidemann,Germany,SC Preußen Münster,64,1
11544,C. Essers,Netherlands,Fortuna Sittard,64,1
11545,B. Stillhart,Switzerland,FC Thun,64,1
11546,D. Moreno,Colombia,Junior FC,64,1
11547,G. Rodríguez,Uruguay,UD Almería,64,1
11548,Edu Espiau,Spain,Villarreal CF,64,1
11549,C. Elva,Canada,FC Ingolstadt 04,64,1
11550,S. Haudum,Austria,LASK Linz,64,1
11551,Ruan,Brazil,Orlando City SC,64,1
11552,A. Isaiah,Nigeria,Gil Vicente FC,64,1
11553,E. Vaessen,Netherlands,RKC Waalwijk,64,1
11554,S. Hager,Austria,WSG Tirol,64,1
11555,Jorge Silva,Portugal,FC Paços de Ferreira,64,1
11556,M. Meyerhöfer,Germany,SpVgg Greuther Fürth,64,1
11557,Alex Suárez,Spain,UD Las Palmas,64,1
11558,M. Voduț,Romania,Chindia Târgovişte,64,1
11559,Marcelinho,Brazil,Clube Sport Marítimo,64,1
11560,C. Stamboulidis,Greece,Extremadura UD,64,1
11561,E. Johansen,Norway,SK Brann,64,1
11562,D. Potts,United Kingdom,Luton Town,64,1
11563,D. Léon,France,Stade Brestois 29,64,1
11564,W. Marinus,Netherlands,FC Emmen,64,1
11565,D. Poleon,United Kingdom,Crawley Town,64,1
11566,T. Haye,Netherlands,Lecce,64,1
11567,M. Maletić,Bosnia and Herzegovina,Paris FC,64,1
11568,M. Cebula,Poland,Korona Kielce,64,1
11569,S. Hoare,Ireland,Dundalk,64,1
11570,D. Bohl,Germany,Chemnitzer FC,64,1
11571,A. Martínez,Chile,Audax Italiano,64,1
11572,R. Ureña,Chile,CD Cobresal,64,1
11573,F. Marquet,Belgium,KV Oostende,64,1
11574,F. Holthaus,Germany,Viktoria Köln,64,1
11575,M. Van Damme,Belgium,KSV Cercle Brugge,64,1
11576,J. Laurent,United Kingdom,Shrewsbury,64,1
11577,D. Djigla,Benin,Chamois Niortais Football Club,64,1
11578,A. Rufer,New Zealand,Wellington Phoenix,64,1
11579,D. Węglarz,Poland,Jagiellonia Białystok,64,1
11580,T. Holmes-Dennis,United Kingdom,Bristol Rovers,64,1
11581,N. Thomas,United Kingdom,Carlisle United,64,1
11582,M. Maroši,Slovakia,Coventry City,64,1
11583,Y. Barnawi,Saudi Arabia,Al Taawoun,64,1
11584,K. Choi,South Korea,Karlsruher SC,64,1
11585,P. Golubović,Serbia,KV Kortrijk,64,1
11586,A. Zedadka,France,Clermont Foot 63,64,1
11587,S. Crone,Denmark,Silkeborg IF,64,1
11588,G. Acampora,Italy,Spezia,64,1
11589,David Gil,Spain,Cádiz CF,64,1
11590,M. Fraisl,Austria,SV Sandhausen,64,1
11591,I. Çipe,Turkey,Kayserispor,64,1
11592,A. Al Malki,Saudi Arabia,Al Ittihad,64,1
11593,T. Kanamori,Japan,Sagan Tosu,64,1
11594,V. Henry,France,Rodez Aveyron Football,64,1
11595,R. Niemeijer,Netherlands,Heracles Almelo,64,1
11596,J. Green,United Kingdom,Barnsley,64,1
11597,Park Yi-Young,South Korea,FC St. Pauli,64,1
11598,K. Nagato,Japan,Vegalta Sendai,64,1
11599,D. Scarr,United Kingdom,Walsall,64,1
11600,J. Lorch,Germany,SV Wehen Wiesbaden,64,1
11601,M. Blažič,Slovenia,Slovenia,64,1
11602,S. Schimmer,Germany,1. FC Heidenheim 1846,64,1
11603,M. Seegert,Germany,SV Waldhof Mannheim,64,1
11604,A. Vrenezi,Kosovo,FC Würzburger Kickers,64,1
11605,B. Jacobsen,Denmark,AC Horsens,64,1
11606,M. Ortíz,Argentina,Atlético Tucumán,64,1
11607,M. Lode,Norway,FK Bodø/Glimt,64,1
11608,L. Nieuwpoort,Netherlands,RKC Waalwijk,64,1
11609,S. Mamba,Germany,SC Paderborn 07,64,1
11610,I. Savane,France,Livingston FC,64,1
11611,J. Méndez,Uruguay,Unión de Santa Fe,64,1
11612,K. Holzweiler,Germany,Viktoria Köln,64,1
11613,R. Sirk,Slovenia,Zagłębie Lubin,64,1
11614,J. Kotei,Ghana,Kaizer Chiefs,64,1
11615,Nené,Portugal,Santa Clara,64,1
11616,D. Jablonský,Czech Republic,Cracovia,64,1
11617,C. Missilou,Congo Republic,Oldham Athletic,64,1
11618,F. Jensen,Norway,Odds BK,64,1
11619,Milton Raphael,Brazil,Vitória de Setúbal,64,1
11620,S. Walker,United Kingdom,Reading,64,1
11621,R. McDonald,United Kingdom,AFC Wimbledon,64,1
11622,Z. Ismail,United Kingdom,Bradford City,64,1
11623,A. Stewart,United Kingdom,Wycombe Wanderers,64,1
11624,O. Turton,United Kingdom,Blackpool,64,1
11625,I. Gelios,Greece,Holstein Kiel,64,1
11626,Toni Silva,Guinea-Bissau,Astra Giurgiu,64,1
11627,A. Escoboza,Mexico,Querétaro,64,1
11628,J. Grimmer,United Kingdom,Wycombe Wanderers,64,1
11629,A. Henley,United Kingdom,Bradford City,64,1
11630,O. Bulut,Germany,Alanyaspor,64,1
11631,Pol,Spain,CF Fuenlabrada,64,1
11632,T. Hopper,United Kingdom,Southend United,64,1
11633,Kim Won Sik,South Korea,FC Seoul,64,1
11634,D. Berntsen,Norway,Tromsø IL,64,1
11635,C. Reilly,Ireland,AFC Wimbledon,64,1
11636,Dolly Menga,Angola,Livingston FC,64,1
11637,W. Jobello,France,Coventry City,64,1
11638,K. Morris,United Kingdom,Tranmere Rovers,64,1
11639,J. O'Sullivan,Ireland,Morecambe,64,1
11640,J. Donacien,St. Lucia,Ipswich Town,64,1
11641,S. Spiridonović,Austria,Pogoń Szczecin,64,1
11642,M. Kuttin,Austria,Wolfsberger AC,64,1
11643,Alex Vallejo,Spain,CF Fuenlabrada,64,1
11644,C. Álvarez,Argentina,América de Cali,64,1
11645,D. Starkl,Austria,FC Admira Wacker Mödling,64,1
11646,N. Quaschner,Germany,DSC Arminia Bielefeld,64,1
11647,J. Thiaré,Senegal,Le Havre AC,64,1
11648,E. Mastrolía,Argentina,Club Atlético Talleres,64,1
11649,G. Karlen,Switzerland,Neuchâtel Xamax,64,1
11650,L. Shephard,United Kingdom,Forest Green Rovers,64,1
11651,Wang Shangyuan,China,Henan Jianye FC,64,1
11652,M. Evouna,Gabon,Santa Clara,64,1
11653,A. Mosquera,Colombia,Independiente Medellín,64,1
11654,A. Al Shamekh,Saudi Arabia,Al Shabab,64,1
11655,Wang Tong,China,Shandong Luneng TaiShan FC,64,1
11656,Luo Senwen,China,Chongqing Dangdai Lifan FC SWM Team,64,1
11657,R. Arciero,Argentina,Club Atlético Banfield,64,1
11658,Hu Yanqiang,China,Beijing Sinobo Guoan FC,64,1
11659,Luo Jing,China,Jiangsu Suning FC,64,1
11660,Z. Gordon,United Kingdom,Central Coast Mariners,64,1
11661,S. Al Jaman,Saudi Arabia,Ettifaq FC,64,1
11662,G. Alanís,Argentina,Godoy Cruz,64,1
11663,S. Leyton,Chile,Unión La Calera,64,1
11664,N. Maeda,Japan,Nagoya Grampus,64,1
11665,Emanuel Novo,Portugal,FC Hermannstadt,64,1
11666,A. Calcan,Romania,FC Viitorul,64,1
11667,S. Vergara,Chile,CD Everton de Viña del Mar,64,1
11668,D. Petković,Montenegro,Angers SCO,64,1
11669,F. Boló,Argentina,Deportivo Pasto,64,1
11670,A. Foosnæs,Norway,Ranheim Fotball,64,1
11671,S. Strand,Sweden,IF Elfsborg,64,1
11672,I. Durmuş,Turkey,St. Mirren,64,1
11673,Diogo Silva,Portugal,CD Tondela,64,1
11674,E. Pap,Romania,FC Botoşani,64,1
11675,R. Garcia,Germany,Chemnitzer FC,64,1
11676,D. Kovačec,Croatia,WSG Tirol,64,1
11677,Márcio Meira,Portugal,Gil Vicente FC,64,1
11678,M. Birighitti,Australia,Central Coast Mariners,64,1
11679,O. Söderberg,Sweden,AFC Eskilstuna,64,1
11680,D. Achucarro,Argentina,Cúcuta Deportivo,64,1
11681,M. Maak,Austria,SCR Altach,64,1
11682,R. Allsop,United Kingdom,Wycombe Wanderers,64,1
11683,N. Ralph,United Kingdom,Southend United,64,1
11684,J. Tamm,Estonia,Lillestrøm SK,64,1
11685,D. Rose,United Kingdom,Mansfield Town,64,1
11686,C. Cropper,United States,New England Revolution,64,1
11687,C. Diop,Senegal,Montreal Impact,64,1
11688,Jean Deretti,Brazil,Academica Clinceni,64,1
11689,P. Sweeney,Ireland,Exeter City,64,1
11690,P. Kühn,Germany,VfL Osnabrück,64,1
11691,J. Tillson,United Kingdom,Exeter City,64,1
11692,N. Chamed,Comoros,Gaz Metan Mediaş,64,1
11693,K. Baccus,Australia,Kaizer Chiefs,64,1
11694,C. Nielsen,Denmark,Aarhus GF,64,1
11695,S. Patzler,Germany,Viktoria Köln,64,1
11696,P. Retre,Australia,Sydney FC,64,1
11697,B. Perea,Colombia,Independiente Santa Fe,64,1
11698,J. Beaulieu,France,FC Chambly Oise,64,1
11699,P. Tschernegg,Austria,TSV Hartberg,64,1
11700,J. Vojtuš,Slovakia,Academica Clinceni,64,1
